"id","name","code"
1,"W.Hemisphere","wh"
2,"Europe","eu"
4,"Africa","af"
6,"Middle East","me"
7,"Asia","as"
9,"Oceania","oc"
11,"Europe","eu"
11,"Middle East","me"
12,"Europe","eu"
12,"Asia","as"
13,"W. Hemisphere","wh"
13,"Asia","as"
14,"Europe","eu"
14,"Africa","af"
14,"Middle East","me"
15,"Europe","eu"
15,"Africa","af"
15,"Middle East","me"
15,"Asia","as"
16,"Africa","af"
16,"Middle East","me"
16,"Asia","as"
16,"Oceania","oc"
17,"Asia","as"
17,"Oceania","oc"
18,"Africa","af"
18,"Middle East","me"
19,"Europe","eu"
19,"Africa","af"
19,"Middle East","me"
19,"Asia","as"
19,"Oceania","oc"
